Parc,Sub-P,NumAr,x_rev,y,x,DAP,Prod.,Ambiente,copa,Observacao
1,5,183,200,40,-50,32,1,Baixio,co-dominante,outra parcela
1,2,402,50,56,-50,13.2,0,Transição,intermediaria,
2,3,56,100,64,-50,18,0,Terra Firme,intermediaria,
1,8,306,350,97,-50,21.7,0,Terra Firme,intermediaria,** suprimida pelo cípo
3,2,386,50,100,-50,10.3,0,Baixio,suprimida,
3,5,260,200,119,-50,31.9,1,Baixio,co-dominante,
2,3,68,100,132,-50,36,1,Terra Firme,co-dominante,
3,3,117,100,155,-50,13.4,0,Baixio,suprimida,
3,4,387,150,160,-50,33.7,1,Baixio,dominante,sub 1?
3,5,242,200,194,-50,47.3,1,Baixio,dominante,
1,7,286,300,200,-50,29,1,Baixio,intermediaria,*
4,3,55,100,221,-50,22.3,1,Terra Firme,intermediaria,suprimida por cípos
4,1,9,0,242,-50,20,0,Terra Firme,suprimida,
1,7,295,300,282,-50,12.3,0,Baixio,suprimida,*
2,4,88,150,324,-50,19.1,0,Terra Firme,intermediaria,
1,1,57,0,330,-50,37,1,Baixio,co-dominante,
2,7,267,300,345,-50,14.6,0,Terra Firme,intermediaria,
4,3,51,100,350,-50,19.8,0,Terra Firme,intermediaria,cípo
4,8,149,350,390,-50,10.6,0,Baixio,intermediaria,suprimida por cípos
1,7,274,301,3,-49,19.7,0,Baixio,intermediaria,*
3,6,276,251,6,-49,22.8,0,Baixio,co-dominante,
1,2,403,51,22,-49,11.9,0,Baixio,co-dominante,
2,6,185,251,64,-49,23.5,0,Terra Firme,intermediaria,suprimida por cípos
3,1,15,1,90,-49,21.8,1,Terra Firme,intermediaria,
1,7,277,301,95,-49,36.1,1,Baixio,co-dominante,*
3,3,128,101,117,-49,10.8,0,Baixio,suprimida,cípo
1,2,79,51,119,-49,34.4,1,Terra Firme,co-dominante,suprimida por cípo
1,7,280,301,150,-49,23.8,1,Baixio,suprimida,*
3,1 ou 2,383,351,160,-49,36.1,1,Transição,co-dominante,
2,6,176,251,184,-49,13,0,Terra Firme,intermediaria,
2,7,213,301,186,-49,31.8,1,Terra Firme,suprimida,cípo
2,5,172,201,193,-49,10.4,0,Terra Firme,intermediaria,
4,7,188,301,215,-49,11.6,0,Terra Firme,co-dominante,suprimida por cípos
3,2,72,51,250,-49,33.3,1,Baixio,dominante,cípo
2,8,246,351,281,-49,24.6,1,Terra Firme,suprimida,
2,4,93,151,300,-49,26.8,1,Terra Firme,intermediaria,suprimida por cípos
1,6,241,251,326,-49,17.2,0,Baixio,intermediaria,
3,5,226,201,335,-49,29.3,1,Baixio,intermediaria,
1,5,222,201,370,-49,34.6,1,Baixio,co-dominante,
2,3,77,101,377,-49,25.3,0,Terra Firme,intermediaria,suprimida por cípos
4,6,123,251,390,-49,20.4,1,Baixio,intermediaria,
1,6,231,251,390,-49,37,1,Baixio,co-dominante,
3,1,6,2,12,-48,20,0,Baixio,intermediaria,
3,2,51,52,40,-48,11.5,0,Baixio,intermediaria,cípo
3,3,390,102,105,-48,29.2,1,Baixio,co-dominante,
2,5,179,202,117,-48,12.4,0,Terra Firme,intermediaria,cípo
3,4,179,152,128,-48,20.8,0,Baixio,intermediaria,
2,4,103,152,145,-48,37.3,1,Terra Firme,co-dominante,
1,5,367,202,150,-48,12,0,Baixio,intermediaria,
1,5,366,202,150,-48,12.2,0,Baixio,intermediaria,
1,7,281,302,156,-48,35.2,1,Baixio,co-dominante,*
